institutionID,name,bic,environmentType,countries,brands,active,businessAccounts,aISAccount,aISAccounts,aISAccountBalances,aISAccountsWithoutBalance,aISTransactions,aISIdentity,aISStatements,pISDomesticSingle,pISDomesticSingleInstant,pISFuturePayment,pISStandingOrder,pISVRP,pISInternationalSingle,pISInternationalFuturePayment,pISInternationalFixedRecurring,pISBulkPayments,singleAuth,preAuth,embedded,domesticSinglePaymentRefund,domesticScheduledPaymentRefund,domesticPeriodicPaymentRefund,internationalSinglePaymentRefund,internationalScheduledPaymentRefund
ca_normandie_seine,Crédit Agricole de Normandie-Seine,CGRRFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_pca,Crédit Agricole de Provence Côtes d'Azur,AGRIMCM1XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_pyrenees_gascogne,Crédit Agricole Pyrénées Gascogne,CGRTFR21XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_reunion,Crédit Agricole de la Réunion,AGRIRERXXXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_sudmed,Crédit Agricole Sud Méditerranée,AGRIESB1XXX,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_sudrhonealpes,Crédit Agricole Sud Rhône-Alpes,AGRIFRPPMEZ,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_toulouse31,Crédit Agricole Toulouse31,AGRIFRPP831,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_tourainepoitou,Crédit Agricole de la Touraine et du Poitou,AGRIFRPP894,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
ca_valdefrance,Crédit Agricole Val De France,AGRIFRPPVAI,LIVE,FR,,true,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No
caisse-d-epargne-aquitaine-poitou-charentes,Caisse d Epargne Aquitaine Poitou-Charentes,CEPAFRPP333,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
caisse-d-epargne-auvergne-et-limousin,Caisse d Epargne Auvergne et Limousin,CEPAFRPP871,LIVE,FR,,true,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No
